"Version","Round","Warmup","Bytes","OpenMs","SearchMs","ScrollMs","PeakWorkingSetBytes"
"baseline","0","True","138420224","221","187","253","323969024"
"current","0","True","138420224","238","187","261","333598720"
"current","1","False","138420224","251","186","259","327397376"
"baseline","1","False","138420224","252","186","243","339066880"
"baseline","2","False","138420224","251","186","246","348532736"
"current","2","False","138420224","220","186","252","341569536"
"current","3","False","138420224","220","188","254","335355904"
"baseline","3","False","138420224","230","187","244","349175808"
"baseline","4","False","138420224","252","186","246","338210816"
"current","4","False","138420224","251","187","257","330412032"
"current","5","False","138420224","256","187","259","331784192"
"baseline","5","False","138420224","220","185","249","334716928"
