"Version","Round","Warmup","Bytes","OpenMs","SearchMs","ScrollMs","PeakWorkingSetBytes"
"baseline","0","True","138420224","223","187","2761","325214208"
"current","0","True","138420224","231","115","2889","363851776"
"current","1","False","138420224","246","189","2867","341803008"
"baseline","1","False","138420224","242","115","2758","323362816"
"baseline","2","False","138420224","265","187","2729","332509184"
"current","2","False","138420224","270","185","2902","338829312"
"current","3","False","138420224","227","185","2893","342401024"
"baseline","3","False","138420224","220","188","2960","319496192"
"baseline","4","False","138420224","250","186","2741","338546688"
"current","4","False","138420224","248","113","2921","352374784"
"current","5","False","138420224","269","185","2911","339423232"
"baseline","5","False","138420224","203","184","2856","331309056"
