"Version","Round","Warmup","Bytes","OpenMs","SearchMs","ScrollMs","PeakWorkingSetBytes","SetValueNs","RepaintNs","EventsNs"
"baseline","0","True","138420224","225","188","2436","358805504","12830700","2407551800","16188700"
"current","0","True","138420224","243","112","2422","354619392","13217100","2393548100","15277200"
"current","1","False","138420224","248","113","2414","348889088","13072500","2386840700","14681500"
"baseline","1","False","138420224","251","186","2412","332595200","12871100","2384872400","15103900"
"baseline","2","False","138420224","211","115","2409","326500352","12546600","2381610400","15668900"
"current","2","False","138420224","224","113","2398","340320256","12538900","2370887100","15362600"
"current","3","False","138420224","235","189","2400","329015296","11721400","2373435300","14861300"
"baseline","3","False","138420224","239","185","2433","342872064","13793700","2403944000","15871800"
"baseline","4","False","138420224","262","185","2416","333893632","13130600","2387960000","15658000"
"current","4","False","138420224","215","187","2438","340439040","13512800","2409797800","14816100"
"current","5","False","138420224","222","188","2416","345620480","13477700","2387222200","15567800"
"baseline","5","False","138420224","234","115","2535","331894784","13708500","2505168400","16603500"
